gender,age,geography,financial_situation,education,employment_status,submission_state,are_there_children_0_to_2_yrs_out_of_educational_system,were_children_3_to_17_yrs_enrolled_and_did_not_return_to_school,are_there_children_who_stopped_enrolling_in_primary_education,are_there_children_who_stopped_enrolling_in_secondary_education,are_children_attending_face_to_face_classes,can_children_observe_deterioration_of_basic_services_of_school,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_teachers_at_scheduled_class_hours,are_children_3_to_17_yrs_dealing_with_irregular_school_activity,are_children_being_teached_by_unqualified_people,did_teachers_leave_the_educational_system,do_school_and_the_teachers_have_internet_connection,do_children_have_internet_connection,do_children_3_to_17_yrs_miss_virtual_class_due_to_lack_of_electricity,does_home_shows_severe_deficit_of_electricity,does_home_shows_severe_deficit_of_internet,do_children_3_to_17_yrs_miss_class_or_in_lower_grade,are_children_promoted_with_a_modality_different_from_formal_evaluation
Female,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,I am unemployed,Miranda,0,1,1,0,0,1,Every day,Irregularly,0,0,0,1,1,0,0,0,0,0
Male,26 to 35 years old,Suburban/Peri-urban,I cannot afford enough food for my family,University or college degree completed,I am unemployed,Miranda,0,1,0,0,0,1,No,Irregularly,1,0,1,0,1,1,0,0,0,0
Female,26 to 35 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, and I have savings",University or college degree completed,"I work full-time, either as an employee or self-employed",Miranda,1,1,1,1,0,1,No,There are not enough,1,1,1,0,1,0,1,0,0,1
Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Miranda,0,0,0,0,0,1,No,There are enough,1,1,1,0,1,0,0,0,0,0
Female,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,I am unemployed,Miranda,0,1,0,0,0,1,No,There are not enough,1,0,1,0,1,1,0,0,0,1
Female,36 to 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Miranda,0,0,1,1,0,0,2 days,Irregularly,0,1,1,1,0,0,0,0,0,1
Female,26 to 35 years old,Rural,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I do housework, fulfilling domestic tasks, looking after children",Miranda,0,1,0,0,0,1,Every day,There are not enough,1,0,0,1,1,0,0,0,0,0
Female,Over 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Miranda,0,0,0,0,0,1,No,There are not enough,1,0,1,0,0,1,0,0,0,0
Female,Over 45 years old,Rural,I cannot afford enough food for my family,University or college degree completed,I am retired,Miranda,0,0,0,0,0,1,No,Irregularly,0,1,1,1,0,1,0,0,0,1
Male,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,University or college degree completed,"I work part-time, either as an employee or self-employed",Sucre,1,1,0,0,0,1,2 days,There are enough,0,0,0,1,1,0,1,0,0,0
